Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2018-11;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;260;162;1;;21;24.79047619047619;2.8677018633540343;;16;56.66979166666667;7.46262939958592;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 5 : un choc anormal sur la ligne à grande vitesse Atlantique (29 TGV retardés pour 746 minutes perdues), 
- le 6 : la panne d'un train de marchandises à St-Pierre-des-Corps (12 TGV retardés  pour 434 minutes perdues),
- le 13 : des tirs de projectiles à l'entré de Paris-Montparnasse nécessitant l'interruption des circulations (13 TGV retardés pour 572 minutes perdues), 
- le 14 : la panne d'un TGV sur la ligne à grande vitesse Atlantique (23 TGV retardés pour 319 minutes perdues), 
- le 22 : la panne d'un TER au sud de Bordeaux (15 TGV retardés pour 850 minutes perdues),
- le 25 : la collision entre un train Intercités et une voiture entre Montauban et Toulouse (14 TGV retardés pour 1984 minutes perdues), 
- le 30 : un incident caténaire sur la ligne à grande vitesse Atlantique (40 TGV pour 1041 minutes perdues) et l'incendie d'un camion citerne avec un risque d'explosion à proximité de la ligne à grande vitesse Atlantique (25 TGV retardés pour 829 minutes perdues).";16;7.462629399585921;8;4;46.666666666666664;26.666666666666668;13.333333333333334;13.333333333333334;0.0;0.0
2018-12;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;257;183;0;;17;7.535294117647059;0.2579234972677595;;16;41.72604166666667;5.289708561020034;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 4 : un dérangement d'installation sur la ligne à grande vitesse Atlantique (22 TGV impactés pour 466 minutes perdues), 
 - le 7 : un dérangement d'installation à l'entrée de Paris-Montparnasse (43 TGV impactés pour  655 minutes perdues), 
- le 15 : une collision avec un véhicule vers Agen ( 4 TGV impactés pour 79 minutes perdues), 
- le 18 : un incident caténaire à l'entrée de Paris-Montparnasse (79 TGV impactés pour 1034 minutes perdues),
- le 22 : un dérangement de passage à niveau entre Montauaban et Agen (3 TGV impactés pour 79 minutes perdues),
- le 25 : un heurt de sanglier sur la ligne à grande vitesse Atlantique (29 TGV impactés pour 2082 minutes perdues), 
- le 31 : une panne d'un TGV sur la ligne à grande vitesse Atlantique ( 7 TGV impactés pour 87 minutes perdues).";16;5.2897085610200385;8;4;37.5;18.75;12.5;31.25;0.0;0.0
2019-01;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;260;185;8;;17;13.561764705882355;0.9342749529190204;;17;46.9421568627451;6.59114877589454;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
 - le 9 : un choc anormal immobilise un train OUIGO sur la ligne à grande vitesse Atlantique (53 TGV impactés pour 3007 minutes perdues) et le heurt d'un sanglier sur la ligne à grande vitesse Atlantique (25 TGV pour 1 42 minutes perdues), 
- le 17 : un bagage abandonné dans un TGV en gare de Paris-Montparnasse (9 TGV impactés pour 287' perdues) et l'incendie d'une armoire électrique entre Montauban et Toulouse (17 TGV impactés pour 269' perdues), 
- les 22 et 23  : les épisodes neigeux sur toute la France (83 TGV pour 1068'perdues),
- le 24 : le heurt d'un chevreuil sur la ligne à grande vitesse Atlantique (68 TGV impactés pour 3628' perdues), 
- le 29 : la tempête Gabriel (18 TGV impactés pour 482 minutes perdues), 
- le 30 : les épisodes neigeux en Ile-de-France (33 TGV impactés pour 772' minutes perdues),
- le 31 : une rupture caténaire à l'entrée de Paris-Montparnasse entraine une interruption totale des circulations (128 TGV pour 12028' perdues).";17;6.591148775894539;10;4;43.75;50.0;6.25;0.0;0.0;0.0
2019-02;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;261;167;0;;13;5.7846153846153845;0.07385229540918156;;16;26.758333333333336;4.427744510978047;;16;4.4277445109780444;3;0;26.666666666666668;26.666666666666668;13.333333333333334;33.33333333333333;0.0;0.0
2019-03;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;260;182;3;;20;29.320833333333326;2.875418994413406;;28;64.25357142857145;12.057448789571692;"Ce mois-ci, cette destination a été touchée par : 
- le 4 : les vents violents imposent des limitations de vitesse (27 TGV impactés pour 221 minutes perdues) et la panne d'un TGV sur la ligne à grande vitesse Atlantique (23 TGV impactés pour 724 minutes perdues), 
- le 12 : le heurt d'une barrière de chantier entre Marcoussis et Massy TGV sur la ligne à grande vitesse Atlantique (80 TGV impactés pour 3660 minutes perdues), 
- le 19 : un dérangement d'installation  sur la ligne à grande vitesse Atlantique  (27 TGV impactés pour 634 minutes perdues), et la défaillance matériel d'un TGV entre Massy et Paris (24 TGV impactés pour 417 minutes perdues), 
- le 20 : l'incendie d'une maison aux abords des voies près de Toulouse qui impactera les circulations jusqu'au 26/03 (19 TGV impactés pour 1271 minutes perdues),
- le 25 : l'envahissement des voies à Vendôme par les salariés d'Arjowiggins (56 TGV impactés pour 4488 minutes perdues) et la défaillance matériel d'un TGV vers Massy (40 TGV impactés pour 1194 minutes perdues),
- le 27 : la défaillance matériel d'un TGV vers Vendôme (14 TGV impactés pour 320 minutes perdues).";28;12.057448789571698;18;7;44.44444444444445;37.03703703703704;7.407407407407408;11.111111111111112;0.0;0.0
2019-04;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;258;156;0;;23;5.029710144927537;0.45138888888888884;;12;29.619444444444444;3.4124999999999974;;12;3.412499999999999;5;1;18.181818181818176;36.36363636363635;9.090909090909088;18.181818181818176;9.090909090909088;9.090909090909088
2019-05;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;259;172;3;;59;10.418079096045195;3.2562130177514805;;11;31.334848484848486;3.533629191321497;;11;31.334848484848486;4;1;18.181818181818183;9.090909090909092;18.181818181818183;36.36363636363637;9.090909090909092;9.090909090909092
2019-06;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;265;153;2;;53;9.244654088050318;3.077483443708611;;26;52.83910256410256;11.315894039735104;"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 7 : sur l'ensemble des régions les conséquences du passage de la tempête Miguel (arbres sur les voies, limitations de vitesse...) (110 TGV impactés pour 10230 minutes perdues), 
- le 9 : un bagage oublié dans un TGV nécessite un arrêt exceptionnel à Massy TGV (11 TGV impactés pour 316 minutes perdues),
- le 10 : un bagage oublié en gare de Bordeaux (23 TGV impactés pour 967 minutes perdues),
- le 11 : un incident éléctrique vers Vendôme sur la Ligne à Grande Vitesse Atlantique perturbe l'ensemble des circulations TGV (127 TGV impactés pour 11356 minutes perdues) et un heurt de  chevreuil sur la Ligne à Grande Vitesse Atlantique (8 TGV impactés pour 431 minutes perdues),
- le 12 : un dérangement d'installation sur la Ligne à Grande Vitesse Atlantique (39 TGV impactés pour 1164 minutes perdues), 
- le 13 : une panne d'un OUIGO à la sortie de Paris-Montparnasse  (20 TGV impactés pour 309 minutes perdues), 
- le 14 : un heurt de cerf sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 630 minutes perdues), 
- le 16 : présence d'une personne aux abords des voies sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 1337 minutes perdues),
- le 21 : une panne d'un TGV sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 177 minutes perdues), 
- le 25 : une incendie aux abords des voies vers Monts (14 TGV impactés pour  655 minutes perdues), 
- le 26 : un dérangement d'installation vers St-Pierre-des-Corps dû aux fortes chaleurs (27 TGV impactés pour 450 minutes perdues),
- le 27 : un incident électrique au nord de St-Pierre-des-Corps (16 TGV pour 459 minutes perdues),
- le 28 : le heurt d'un chevreuil sur la Ligne à Grande Vitesse Atlantique (51 TGV impactés pour  2160 minutes perdues).";26;52.83910256410256;18;7;53.84615384615385;30.76923076923077;3.8461538461538463;11.538461538461538;0.0;0.0
2019-07;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;265;194;0;;86;5.124224806201549;1.7146907216494829;;29;45.610919540229894;8.407474226804123;"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1er : la panne d'un TER à l'entrée de Paris-Montparnasse (7 TGV impactés pour 269 minutes perdues), 
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 8 : un incident électrique au sud de Bordeaux (26 TGV impactés pour 3352 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 22 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (14 TGV impactés pour 365 minutes perdues),
- le 23 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (38 TGV impactés pour 1087 minutes perdues)  et plusieurs départs de feux déclanchés par un train de marchandises au sud de Bordeaux (7 TGV impactés pour 1601 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues).";29;45.610919540229894;13;4;37.93103448275861;27.58620689655172;6.89655172413793;20.68965517241379;3.448275862068965;3.448275862068965
2019-08;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;265;194;0;;86;8.188759689922486;3.3231099656357417;;22;37.9530303030303;5.781701030927835;;22;37.9530303030303;8;3;36.36363636363637;22.727272727272727;13.636363636363638;22.727272727272727;0.0;4.545454545454546
